rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,speedX,speedY,speedZ
1625346531552742621,,416,,1625346531,365852864,"""base_link""",-1.89608890651e-05,7.07055141902e-06,-0.0699912235141
1625346531608068874,,417,,1625346531,607899491,"""base_link""",-1.05894505396e-05,-6.51506525173e-07,-0.0658734217286
1625346531911723395,,418,,1625346531,911529782,"""base_link""",-7.64720061852e-06,-3.92832844227e-05,-0.0606980286539
1625346532090041702,,419,,1625346532,89834636,"""base_link""",3.93732443627e-05,-4.56632114947e-05,-0.0554088801146
1625346532353841293,,420,,1625346532,353608293,"""base_link""",-5.03833362018e-05,1.83053089131e-05,-0.0493447929621
1625346532569402705,,421,,1625346532,569227949,"""base_link""",3.51260996467e-06,7.51829475121e-06,-0.043287884444
1625346532809224550,,422,,1625346532,809005739,"""base_link""",4.73382806376e-06,-3.53214454663e-05,-0.0288907550275
1625346533105828963,,423,,1625346533,105625515,"""base_link""",4.68765319965e-05,-3.29454792336e-06,-0.0236598234624
1625346533291127254,,424,,1625346533,290879369,"""base_link""",-1.98653960979e-05,1.48210870066e-06,-0.0231236740947
1625346533557281194,,425,,1625346533,557102323,"""base_link""",-4.64037257188e-05,4.11674591305e-05,-0.0168059580028
1625346533775084396,,426,,1625346533,774909112,"""base_link""",-5.94953889959e-05,1.42657027027e-05,-0.0103143136948
1625346534017078711,,427,,1625346534,16907402,"""base_link""",1.57810507062e-06,7.48423599362e-06,-0.00726351747289
1625346534305750957,,428,,1625346534,305524840,"""base_link""",3.39942671417e-05,1.24045673147e-05,-0.00616223039106
1625346534495437383,,429,,1625346534,495285971,"""base_link""",4.47377788078e-05,2.83734771074e-05,-1.53842429427e-05
1625346534759124767,,430,,1625346534,758549491,"""base_link""",-6.36998947812e-06,9.14979391382e-05,0.00250378227793
1625346534973832337,,431,,1625346534,973625591,"""base_link""",-1.20885970318e-05,0.000113212430733,0.00261689629406
1625346535214187402,,432,,1625346535,213982555,"""base_link""",6.7112443503e-05,0.000171250343556,0.00670021353289
1625346535516279514,,433,,1625346535,516011083,"""base_link""",1.66770169017e-05,0.000179590657353,0.00683980248868
1625346535694840345,,434,,1625346535,694619901,"""base_link""",4.30878644693e-05,0.000206373617402,0.00972295179963
1625346535959409586,,435,,1625346535,958977542,"""base_link""",0.000125088292407,0.000308234797558,0.00927608460188
1625346536173356024,,436,,1625346536,172948863,"""base_link""",0.000117211537145,0.000364909414202,0.00951334554702
1625346536411381649,,437,,1625346536,411141229,"""base_link""",-7.67143501434e-06,0.000219686233322,0.00990173500031
1625346536705822857,,438,,1625346536,705675942,"""base_link""",-8.89473085408e-05,1.49878060256e-05,0.0118218585849
1625346536887468472,,439,,1625346536,887271210,"""base_link""",-7.40356845199e-05,-0.00390850333497,0.0140819046646
1625346537150704276,,440,,1625346537,150511521,"""base_link""",5.60389962629e-05,-0.00454904418439,0.0133929057047
1625346537365939737,,441,,1625346537,365801812,"""base_link""",6.52654562145e-05,-0.0023458157666,0.012810671702
1625346537605262895,,442,,1625346537,605096094,"""base_link""",0.000162610507687,0.00387944816612,0.0123269679025
1625346537895612569,,443,,1625346537,895384908,"""base_link""",0.000145164580317,0.0045868367888,0.0143540212885
